https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XRP
1752364800000,2025-07-13 00:00:00,XRP/USD,2.7342,2.7504,2.7228,2.7379,51335.79128851944,18750.06073579
1752278400000,2025-07-12 00:00:00,XRP/USD,2.7289,2.8447,2.6606,2.7339,9710872.746870447,3552021.92723598
1752192000000,2025-07-11 00:00:00,XRP/USD,2.5456,2.9745,2.5125,2.7293,22337633.16529965,8184381.77016072
1752105600000,2025-07-10 00:00:00,XRP/USD,2.4071,2.5653,2.3989,2.5467,7533057.258821416,2957968.06016469
1752019200000,2025-07-09 00:00:00,XRP/USD,2.3139,2.4296,2.3022,2.407,6018218.632704995,2500298.55949522
1751932800000,2025-07-08 00:00:00,XRP/USD,2.2739,2.325,2.2529,2.3132,4856278.427225207,2099376.80582103
1751846400000,2025-07-07 00:00:00,XRP/USD,2.2752,2.3561,2.2598,2.2739,3514089.209245611,1545401.82472651
1751760000000,2025-07-06 00:00:00,XRP/USD,2.2196,2.2931,2.2124,2.2755,1757376.1327066193,772303.28837909
1751673600000,2025-07-05 00:00:00,XRP/USD,2.2232,2.2361,2.2051,2.2196,365159.23037130566,164515.78229019
1751587200000,2025-07-04 00:00:00,XRP/USD,2.26,2.2704,2.201,2.2236,948191.2609962485,426421.68600299
1751500800000,2025-07-03 00:00:00,XRP/USD,2.2361,2.3152,2.2281,2.2598,3436480.7046028627,1520701.25878523
1751414400000,2025-07-02 00:00:00,XRP/USD,2.1757,2.293,2.1633,2.2361,2324758.741620941,1039648.82680602
1751328000000,2025-07-01 00:00:00,XRP/USD,2.24,2.2549,2.1514,2.1759,2267671.640533055,1042176.40541066
1751241600000,2025-06-30 00:00:00,XRP/USD,2.207,2.3285,2.1685,2.2401,2877832.7407644694,1284689.40706418
1751155200000,2025-06-29 00:00:00,XRP/USD,2.185,2.2192,2.1764,2.2069,1970847.3384563038,893038.80486488
1751068800000,2025-06-28 00:00:00,XRP/USD,2.1428,2.2076,2.1356,2.1859,1771154.297330031,810263.1855666
1750982400000,2025-06-27 00:00:00,XRP/USD,2.1061,2.1521,2.0681,2.1419,1146427.556470924,535238.59959425
1750896000000,2025-06-26 00:00:00,XRP/USD,2.1859,2.2119,2.0967,2.1052,2064786.219398339,980802.87830056
1750809600000,2025-06-25 00:00:00,XRP/USD,2.191,2.229,2.1712,2.1862,1046625.0722249252,478741.68521861
1750723200000,2025-06-24 00:00:00,XRP/USD,2.1644,2.2179,2.1355,2.1907,2440408.937270024,1113985.91193227
1750636800000,2025-06-23 00:00:00,XRP/USD,2.0183,2.1725,1.9664,2.1607,3849147.6912980904,1781435.50298426
1750550400000,2025-06-22 00:00:00,XRP/USD,2.0677,2.091,1.9124,2.0242,5245579.749228225,2591433.52891425
1750464000000,2025-06-21 00:00:00,XRP/USD,2.1195,2.1469,1.9966,2.064,2799220.904262575,1356211.67842179
1750377600000,2025-06-20 00:00:00,XRP/USD,2.1712,2.18,2.0884,2.1219,1378029.0645686227,649431.67188304
1750291200000,2025-06-19 00:00:00,XRP/USD,2.1714,2.1867,2.146,2.1677,874870.2971723521,403593.80780198
1750204800000,2025-06-18 00:00:00,XRP/USD,2.1646,2.1837,2.1218,2.1714,1431351.6780495725,659183.78836215
1750118400000,2025-06-17 00:00:00,XRP/USD,2.2346,2.2565,2.144,2.1619,3714200.0455601863,1718025.83170368
1750032000000,2025-06-16 00:00:00,XRP/USD,2.1682,2.3378,2.1553,2.2369,4361037.724476786,1949589.9344972
1749945600000,2025-06-15 00:00:00,XRP/USD,2.1478,2.1798,2.1448,2.1691,1013367.9060877047,467183.58124923
1749859200000,2025-06-14 00:00:00,XRP/USD,2.1476,2.1798,2.1114,2.143,1716313.798230736,800893.04630459
1749772800000,2025-06-13 00:00:00,XRP/USD,2.1896,2.1897,2.0847,2.1481,2273210.892575445,1058242.58301543
1749686400000,2025-06-12 00:00:00,XRP/USD,2.266,2.2731,2.1719,2.1912,1934892.0019670187,883028.47844424
1749600000000,2025-06-11 00:00:00,XRP/USD,2.3044,2.3354,2.253,2.2689,2674713.98718433,1178859.35351242
1749513600000,2025-06-10 00:00:00,XRP/USD,2.3184,2.3284,2.2588,2.3034,3306598.092358658,1435529.25777488
1749427200000,2025-06-09 00:00:00,XRP/USD,2.2683,2.3294,2.2259,2.3208,1598469.2360005844,688757.85763555
1749340800000,2025-06-08 00:00:00,XRP/USD,2.1787,2.2966,2.1692,2.2687,1962741.8213724298,865139.42847112
1749254400000,2025-06-07 00:00:00,XRP/USD,2.1632,2.1936,2.1499,2.1801,729076.9810927752,334423.64161863
1749168000000,2025-06-06 00:00:00,XRP/USD,2.0962,2.1909,2.0858,2.1614,1220657.7810425023,564753.29927015
1749081600000,2025-06-05 00:00:00,XRP/USD,2.2,2.2254,2.0604,2.0971,2443433.6194333863,1165148.83383405
1748995200000,2025-06-04 00:00:00,XRP/USD,2.2464,2.2637,2.1934,2.1995,1021404.681793842,464380.39636001
1748908800000,2025-06-03 00:00:00,XRP/USD,2.1971,2.2809,2.1837,2.2436,1277589.7201778127,569437.38642263
1748822400000,2025-06-02 00:00:00,XRP/USD,2.1766,2.2049,2.1382,2.1976,2111538.188637755,960838.27295129
1748736000000,2025-06-01 00:00:00,XRP/USD,2.173,2.187,2.1245,2.1781,1590775.935539394,730350.27571709
1748649600000,2025-05-31 00:00:00,XRP/USD,2.1399,2.2046,2.0816,2.1724,1809303.844108549,832859.4384591
1748563200000,2025-05-30 00:00:00,XRP/USD,2.2439,2.2517,2.13,2.1384,3830977.8750954475,1791516.02838358
1748476800000,2025-05-29 00:00:00,XRP/USD,2.2753,2.3109,2.2376,2.2435,1677189.3794905692,747577.169374
1748390400000,2025-05-28 00:00:00,XRP/USD,2.3156,2.3209,2.2243,2.2753,3314384.759433206,1456680.33201477
1748304000000,2025-05-27 00:00:00,XRP/USD,2.3083,2.352,2.2658,2.3179,1248921.4328984397,538815.92514709
1748217600000,2025-05-26 00:00:00,XRP/USD,2.3404,2.3539,2.296,2.3104,1791808.1967219743,775540.25135127
1748131200000,2025-05-25 00:00:00,XRP/USD,2.3268,2.3415,2.2636,2.3403,2639387.774996119,1127798.90398501
1748044800000,2025-05-24 00:00:00,XRP/USD,2.2935,2.3586,2.2844,2.327,745528.3331115718,320381.75037025
1747958400000,2025-05-23 00:00:00,XRP/USD,2.4273,2.4774,2.283,2.2939,5283847.7302429,2303434.20822307
1747872000000,2025-05-22 00:00:00,XRP/USD,2.3966,2.454,2.3887,2.43,2376828.833028717,978118.86132869
1747785600000,2025-05-21 00:00:00,XRP/USD,2.3546,2.4278,2.3293,2.3981,3277940.4010771243,1366890.62219137
1747699200000,2025-05-20 00:00:00,XRP/USD,2.3786,2.4077,2.3149,2.3572,2522700.348643707,1070210.56704722
1747612800000,2025-05-19 00:00:00,XRP/USD,2.4299,2.439,2.2839,2.3801,5985087.552341672,2514637.01203381
1747526400000,2025-05-18 00:00:00,XRP/USD,2.3559,2.4483,2.3308,2.4297,3016142.784394381,1241364.27723356
1747440000000,2025-05-17 00:00:00,XRP/USD,2.378,2.3875,2.3,2.3545,4509221.974936402,1915150.5521072
1747353600000,2025-05-16 00:00:00,XRP/USD,2.3834,2.438,2.3468,2.3786,5720760.05166836,2405095.45601125
1747267200000,2025-05-15 00:00:00,XRP/USD,2.5502,2.5706,2.3537,2.3824,6578037.193134914,2761096.87421714
1747180800000,2025-05-14 00:00:00,XRP/USD,2.5834,2.6491,2.5207,2.5515,2921061.319006893,1144840.80697899
1747094400000,2025-05-13 00:00:00,XRP/USD,2.544,2.6055,2.4232,2.5835,4323216.507250237,1673395.20311602
1747008000000,2025-05-12 00:00:00,XRP/USD,2.3678,2.6541,2.3516,2.5486,14982770.630693097,5878823.91536259
1746921600000,2025-05-11 00:00:00,XRP/USD,2.4685,2.4806,2.3279,2.3632,4159346.3956157337,1760048.40708181
1746835200000,2025-05-10 00:00:00,XRP/USD,2.3445,2.4741,2.3359,2.4705,4250185.0454832865,1720374.43654454
1746748800000,2025-05-09 00:00:00,XRP/USD,2.33,2.4281,2.2874,2.3453,4838884.336735295,2063226.1700999
1746662400000,2025-05-08 00:00:00,XRP/USD,2.1285,2.3308,2.1207,2.33,4958113.939493999,2127945.89677854
