https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1752278400000,2025-07-12 00:00:00,BTC/USDC,117374.81,118880,116501.01,116753.29,5887.24,0.050083,5732.24,0.048758,224,117551.76
1752192000000,2025-07-11 00:00:00,BTC/USDC,115499,118880,113876,117615.86,81671.47,0.700928,80519.84,0.690882,511,116526.39
1752105600000,2025-07-10 00:00:00,BTC/USDC,111247.96,116300,96280,116200,103313.96,0.921464,93739.07,0.82903,433,112246.19
1752019200000,2025-07-09 00:00:00,BTC/USDC,108299.03,111558.09,106751,110501.01,11983.77,0.108805,7219.79,0.065054,60,110154.43
1751932800000,2025-07-08 00:00:00,BTC/USDC,108001,109092.96,107501,109092.96,10275.14,0.094819,9390.77,0.086603,65,108366.42
1751846400000,2025-07-07 00:00:00,BTC/USDC,108999,109399,107788.22,107788.22,26.84,0.000247,22.08,0.000203,11,108686.43
1751760000000,2025-07-06 00:00:00,BTC/USDC,108199,109534.98,107751.17,109398.11,1622.64,0.015021,1289.36,0.011928,50,108025.47
1751673600000,2025-07-05 00:00:00,BTC/USDC,108199,108384.72,102511.61,108199,6562.94,0.061925,2447.01,0.022826,43,106023.21
1751587200000,2025-07-04 00:00:00,BTC/USDC,109057.05,109057.05,106045.5,108098.85,8988.14,0.083531,6728.09,0.062541,54,107605.56
1751500800000,2025-07-03 00:00:00,BTC/USDC,109097.3,110335.83,108565.96,109996.88,1159.54,0.010547,1146.63,0.010429,28,109942.1
1751414400000,2025-07-02 00:00:00,BTC/USDC,105308.51,109514.08,100000.01,108751,14249.8,0.133857,6085.84,0.056621,106,106519.8
1751328000000,2025-07-01 00:00:00,BTC/USDC,106854.27,107017.41,105401,105401,3947.72,0.036926,3786.33,0.035401,27,106909.81
1751241600000,2025-06-30 00:00:00,BTC/USDC,108280,108565,106252.31,106451,5778.44,0.054253,4173.64,0.039249,37,106511.21
1751155200000,2025-06-29 00:00:00,BTC/USDC,107399,108280,107001.8,107499,1712.14,0.01586,1635.4,0.015143,62,107954.26
1751068800000,2025-06-28 00:00:00,BTC/USDC,107248.99,107399,106506.07,107399,1997.39,0.018699,152.66,0.001423,20,106818.41
1750982400000,2025-06-27 00:00:00,BTC/USDC,106516.37,107498.99,102280,106501.01,3907.02,0.036874,764.08,0.007213,34,105968.84
1750896000000,2025-06-26 00:00:00,BTC/USDC,107609.84,108249.52,101936.73,106751.86,14958.44,0.141258,3897.54,0.036395,83,105933.32
1750809600000,2025-06-25 00:00:00,BTC/USDC,106249.99,108249.92,104801,107500,54692.02,0.516458,46474.16,0.439343,111,105902.22
1750723200000,2025-06-24 00:00:00,BTC/USDC,105737.98,106000,104023.43,105749,1797.09,0.017062,445.38,0.004213,36,105329.48
1750636800000,2025-06-23 00:00:00,BTC/USDC,99501.19,105750,99501.19,105737.99,6174.56,0.060375,5321.05,0.05187,80,102293.37
