https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1719446400000,2024-06-27 00:00:00,DOGE/USDC,0.11651,0.13503,0.11651,0.13503,80.36984,622.559,76.10853,585.996,4,0.12925
1719360000000,2024-06-26 00:00:00,DOGE/USDC,0.13923,0.13923,0.13923,0.13923,0,0,0,0,0,0.13923
1719273600000,2024-06-25 00:00:00,DOGE/USDC,0.13923,0.13923,0.13923,0.13923,0,0,0,0,0,0.13923
1719187200000,2024-06-24 00:00:00,DOGE/USDC,0.13923,0.13923,0.13923,0.13923,0,0,0,0,0,0.13923
1719100800000,2024-06-23 00:00:00,DOGE/USDC,0.13923,0.13923,0.13923,0.13923,0,0,0,0,0,0.13923
1719014400000,2024-06-22 00:00:00,DOGE/USDC,0.13923,0.13923,0.13923,0.13923,0,0,0,0,0,0.13923
1718928000000,2024-06-21 00:00:00,DOGE/USDC,0.13923,0.13923,0.13923,0.13923,0,0,0,0,0,0.13923
1718841600000,2024-06-20 00:00:00,DOGE/USDC,0.13923,0.13923,0.13923,0.13923,0,0,0,0,0,0.13923
1718755200000,2024-06-19 00:00:00,DOGE/USDC,0.13923,0.13923,0.13923,0.13923,0,0,0,0,0,0.13923
1718668800000,2024-06-18 00:00:00,DOGE/USDC,0.13923,0.13923,0.13923,0.13923,0,0,0,0,0,0.13923
1718582400000,2024-06-17 00:00:00,DOGE/USDC,0.13923,0.13923,0.13923,0.13923,1.89185,13.588,1.89185,13.588,1,0.13923
1718496000000,2024-06-16 00:00:00,DOGE/USDC,0.13554,0.13554,0.13554,0.13554,0,0,0,0,0,0.13554
1718409600000,2024-06-15 00:00:00,DOGE/USDC,0.13554,0.13554,0.13554,0.13554,0,0,0,0,0,0.13554
1718323200000,2024-06-14 00:00:00,DOGE/USDC,0.13554,0.13554,0.13554,0.13554,7.04808,52,0,0,1,0.13554
1718236800000,2024-06-13 00:00:00,DOGE/USDC,0.14489,0.14489,0.14489,0.14489,0,0,0,0,0,0.14489
1718150400000,2024-06-12 00:00:00,DOGE/USDC,0.14489,0.14489,0.14489,0.14489,0,0,0,0,0,0.14489
1718064000000,2024-06-11 00:00:00,DOGE/USDC,0.14489,0.14489,0.14489,0.14489,1.55727,10.748,1.55727,10.748,1,0.14489
1717977600000,2024-06-10 00:00:00,DOGE/USDC,0.14778,0.14778,0.1368,0.1368,6.0864,42.773,3.16367,21.408,2,0.1425
1717891200000,2024-06-09 00:00:00,DOGE/USDC,0.14824,0.14824,0.14824,0.14824,0,0,0,0,0,0.14836
1717804800000,2024-06-08 00:00:00,DOGE/USDC,0.14873,0.14873,0.14824,0.14824,155.78855,1050.006,155.78855,1050.006,2,0.14836
1717718400000,2024-06-07 00:00:00,DOGE/USDC,0.15316,0.16949,0.14386,0.14386,525.2942,3517.408,6.85061,40.419,11,0.14942
1717632000000,2024-06-06 00:00:00,DOGE/USDC,0.16662,0.16662,0.16662,0.16662,0,0,0,0,0,0.16662
1717545600000,2024-06-05 00:00:00,DOGE/USDC,0.16662,0.16662,0.16662,0.16662,0,0,0,0,0,0.16662
1717459200000,2024-06-04 00:00:00,DOGE/USDC,0.16662,0.16662,0.16662,0.16662,4.99993,30.008,4.99993,30.008,1,0.16662
1717372800000,2024-06-03 00:00:00,DOGE/USDC,0.16145,0.16909,0.15302,0.15302,19.71906,122.08,15.20344,92.57,6,0.16172
1717286400000,2024-06-02 00:00:00,DOGE/USDC,0.16796,0.16796,0.16135,0.16135,19.92357,120.12,6.4001,39.604,3,0.16591
1717200000000,2024-06-01 00:00:00,DOGE/USDC,0.16179,0.16179,0.16179,0.16179,0,0,0,0,0,0.15556
1717113600000,2024-05-31 00:00:00,DOGE/USDC,0.16179,0.16179,0.16179,0.16179,0,0,0,0,0,0.15556
1717027200000,2024-05-30 00:00:00,DOGE/USDC,0.1595,0.16224,0.14364,0.16179,148.84849,958.154,56.1268,346.74,6,0.15556
1716940800000,2024-05-29 00:00:00,DOGE/USDC,0.17492,0.17492,0.16905,0.17023,9.88846,57.69,6.50464,38.345,3,0.17144
1716854400000,2024-05-28 00:00:00,DOGE/USDC,0.18487,0.18487,0.11,0.11,388.324,3396.059,1.01475,5.489,6,0.11462
1716768000000,2024-05-27 00:00:00,DOGE/USDC,0.16133,0.16133,0.16133,0.16133,4.20829,26.085,4.20829,26.085,1,0.16133
