https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751328000000,2025-07-01 00:00:00,ETH/USDC,2395.01,2395.02,2339.21,2339.21,583.85,0.244549,0,0,17,2387.61
1751241600000,2025-06-30 00:00:00,ETH/USDC,2529.97,2529.97,2429.87,2529.97,5093.16,2.088538,5003,2.052077,12,2438.93
1751155200000,2025-06-29 00:00:00,ETH/USDC,2509.05,2521.34,2503.06,2521.34,324.98,0.129118,324.98,0.129118,6,2516.95
1751068800000,2025-06-28 00:00:00,ETH/USDC,2433.01,2433.01,2433,2433,714.34,0.293607,0,0,2,2433
1750982400000,2025-06-27 00:00:00,ETH/USDC,2389.42,2389.43,2389.42,2389.43,54.28,0.022719,0,0,3,2389.42
1750896000000,2025-06-26 00:00:00,ETH/USDC,2466.43,2510,2410,2410,2283.71,0.946622,2283.71,0.946622,17,2412.56
1750809600000,2025-06-25 00:00:00,ETH/USDC,2389.48,2465.29,2378.45,2465.29,3136.03,1.317818,2797.03,1.175578,13,2379.72
1750723200000,2025-06-24 00:00:00,ETH/USDC,2439.99,2479.99,2377.57,2479.99,13778.3,5.636483,6195.21,2.53367,57,2444.5
1750636800000,2025-06-23 00:00:00,ETH/USDC,2227.18,2439.99,2185.36,2439.99,10525.27,4.396097,10298.05,4.297437,76,2394.53
1750550400000,2025-06-22 00:00:00,ETH/USDC,2290,2290,2150,2229.73,9917.88,4.511532,1153.26,0.516415,44,2198.54
1750464000000,2025-06-21 00:00:00,ETH/USDC,2378.05,2451.06,2267.13,2327.42,1582.65,0.686561,608.55,0.261557,19,2305.77
1750377600000,2025-06-20 00:00:00,ETH/USDC,2555.42,2569.74,2390,2390,1223.92,0.493153,411.47,0.161676,18,2483.45
1750291200000,2025-06-19 00:00:00,ETH/USDC,2521.11,2601.02,2418.62,2601.02,407.48,0.161742,349.5,0.13863,5,2519.8
1750204800000,2025-06-18 00:00:00,ETH/USDC,2465.63,2544.11,2465.63,2533.78,502.53,0.20236,502.53,0.20236,4,2483.75
1750118400000,2025-06-17 00:00:00,ETH/USDC,2537.39,2545.14,2478.02,2478.02,7341.15,2.91792,4471.33,1.776955,26,2515.97
1750032000000,2025-06-16 00:00:00,ETH/USDC,2542.06,2689.99,2542.06,2648.4,18993.02,7.079104,2245.7,0.845122,84,2683.12
1749945600000,2025-06-15 00:00:00,ETH/USDC,2467.11,2575.15,2390,2543.16,11725.27,4.664879,8594.94,3.39157,64,2514.52
1749859200000,2025-06-14 00:00:00,ETH/USDC,2468.99,2640.17,2432.25,2479.51,1213.68,0.493497,694.65,0.283304,13,2459.56
1749772800000,2025-06-13 00:00:00,ETH/USDC,2450.01,2493.87,2435.85,2481.4,2112.42,0.856949,682.46,0.27744,12,2465.2
