https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751328000000,2025-07-01 00:00:00,LTC/USDC,86.42,86.42,82.95,82.95,182.56,2.146382,56.12,0.654409,14,85.05
1751241600000,2025-06-30 00:00:00,LTC/USDC,86.45,86.71,84.94,86.71,5.02,0.05858,1,0.011534,5,85.7
1751155200000,2025-06-29 00:00:00,LTC/USDC,86.59,87.96,86.45,87.95,1241.9,14.155407,120.11,1.373525,39,87.73
1751068800000,2025-06-28 00:00:00,LTC/USDC,86.18,86.45,86.18,86.45,148.74,1.7259,148.74,1.7259,8,86.18
1750982400000,2025-06-27 00:00:00,LTC/USDC,83.73,83.73,83.44,83.44,2,0.02393,0,0,2,83.58
1750896000000,2025-06-26 00:00:00,LTC/USDC,85.25,85.55,84,84.28,336.28,3.966486,190.76,2.238371,17,84.78
1750809600000,2025-06-25 00:00:00,LTC/USDC,85.25,85.32,84.21,84.3,384.27,4.538857,157.35,1.846405,16,84.66
1750723200000,2025-06-24 00:00:00,LTC/USDC,84.66,84.83,83.9,83.93,927.42,11.039205,705.16,8.402344,14,84.01
1750636800000,2025-06-23 00:00:00,LTC/USDC,81.16,85.18,79.79,85.18,472.21,5.793642,265.67,3.215856,30,81.53
1750550400000,2025-06-22 00:00:00,LTC/USDC,81.16,81.32,76.37,80,409.27,5.230404,239.98,3.045523,27,78.25
1750464000000,2025-06-21 00:00:00,LTC/USDC,83.66,83.99,78.84,78.84,461.3,5.69418,3.03,0.036267,20,81.03
1750377600000,2025-06-20 00:00:00,LTC/USDC,84.57,86.04,81.18,83.28,434.22,5.1721,204.31,2.426187,23,83.97
1750291200000,2025-06-19 00:00:00,LTC/USDC,85.34,85.34,84.53,84.53,40,0.473093,1,0.011719,2,84.55
1750204800000,2025-06-18 00:00:00,LTC/USDC,83.88,85.18,83.88,85.18,79.59,0.941639,40.59,0.47669,3,84.53
1750118400000,2025-06-17 00:00:00,LTC/USDC,86.21,86.21,82.63,84.93,132.04,1.561958,118.22,1.398083,17,84.53
1750032000000,2025-06-16 00:00:00,LTC/USDC,86.91,88.81,86.91,87.27,313.64,3.588992,196.09,2.243294,13,87.39
1749945600000,2025-06-15 00:00:00,LTC/USDC,84.71,84.71,84.71,84.71,0,0,0,0,0,85.09
1749859200000,2025-06-14 00:00:00,LTC/USDC,85.35,85.37,84.71,84.71,272.1,3.197831,0,0,17,85.09
1749772800000,2025-06-13 00:00:00,LTC/USDC,85.8,86.19,81.72,86.19,6751.02,80.243189,206.04,2.454482,38,84.13
1749686400000,2025-06-12 00:00:00,LTC/USDC,90.15,90.15,86.13,86.13,208.15,2.349491,178.62,2.011127,16,88.6
1749600000000,2025-06-11 00:00:00,LTC/USDC,91.94,93.62,91.01,91.01,403.13,4.374338,141,1.524876,27,92.16
1749513600000,2025-06-10 00:00:00,LTC/USDC,91.17,93.36,90.63,93.36,269.57,2.956591,151.57,1.654799,21,91.18
1749427200000,2025-06-09 00:00:00,LTC/USDC,87.57,90.45,87.3,90.45,223.49,2.511794,181.71,2.039349,13,88.97
1749340800000,2025-06-08 00:00:00,LTC/USDC,87.25,88.01,86.23,86.23,181.06,2.076858,17.17,0.195098,9,87.18
1749254400000,2025-06-07 00:00:00,LTC/USDC,88.8,89.13,86.22,86.22,79.76,0.900888,65.25,0.732578,5,88.55
1749168000000,2025-06-06 00:00:00,LTC/USDC,84.43,87.49,84.43,87.49,1363.47,16.075156,1363.47,16.075156,16,84.81
1749081600000,2025-06-05 00:00:00,LTC/USDC,88.73,88.8,82.44,82.44,473.86,5.501547,98.88,1.11429,24,86.18
1748995200000,2025-06-04 00:00:00,LTC/USDC,90.39,91.15,86.25,86.25,266.54,2.975494,125,1.379393,18,89.59
1748908800000,2025-06-03 00:00:00,LTC/USDC,90.13,90.13,88.76,89.14,387.89,4.32454,1.03,0.011429,11,89.69
1748822400000,2025-06-02 00:00:00,LTC/USDC,87.92,89.63,87.42,89.53,961.61,10.885818,720.85,8.140391,22,88.33
1748736000000,2025-06-01 00:00:00,LTC/USDC,88.02,88.02,88.02,88.02,53.55,0.608391,53.55,0.608391,1,88.02
