https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751328000000,2025-07-01 00:00:00,XRP/USDC,2.1674,2.1674,2.1674,2.1674,2.2296,1.0287,0,0,1,2.1674
1751241600000,2025-06-30 00:00:00,XRP/USDC,2.1977,2.32,2.1977,2.2483,2704.2414,1176.9121,2456.5427,1065.6611,42,2.2981
1751155200000,2025-06-29 00:00:00,XRP/USDC,2.1473,2.1473,2.1473,2.1473,0,0,0,0,0,2.1184
1751068800000,2025-06-28 00:00:00,XRP/USDC,2.1473,2.1473,2.1473,2.1473,0,0,0,0,0,2.1184
1750982400000,2025-06-27 00:00:00,XRP/USDC,2.0769,2.1473,2.0769,2.1473,171.0127,80.7465,168.7694,79.6664,5,2.1184
1750896000000,2025-06-26 00:00:00,XRP/USDC,2.1787,2.1895,2.1436,2.1436,634.3154,291.0565,592.3152,271.8739,6,2.1793
1750809600000,2025-06-25 00:00:00,XRP/USDC,2.2472,2.3398,2.1787,2.1787,855.6458,380.5209,776.646,344.2633,14,2.2493
1750723200000,2025-06-24 00:00:00,XRP/USDC,2.1722,2.2389,2.1722,2.2389,5.3039,2.4031,5.3039,2.4031,5,2.2074
1750636800000,2025-06-23 00:00:00,XRP/USDC,2.0297,2.1442,1.9632,2.1442,770.7679,382.3278,340.2966,165.1801,14,2.017
1750550400000,2025-06-22 00:00:00,XRP/USDC,2.0802,2.0802,1.8018,1.9722,1412.8272,727.0597,135.8186,68.7867,23,1.9448
1750464000000,2025-06-21 00:00:00,XRP/USDC,2.1759,2.2671,1.9975,1.9975,1386.228,672.5662,147.1782,66.0475,11,2.0628
1750377600000,2025-06-20 00:00:00,XRP/USDC,2.0854,2.0854,2.0854,2.0854,6.2395,2.992,0,0,1,2.0854
1750291200000,2025-06-19 00:00:00,XRP/USDC,2.1707,2.1735,2.12,2.12,25074.2503,11826.8214,25074.2503,11826.8214,20,2.1201
1750204800000,2025-06-18 00:00:00,XRP/USDC,2.1317,2.1317,2.1257,2.126,48.127,22.6363,0,0,9,2.126
1750118400000,2025-06-17 00:00:00,XRP/USDC,2.2471,2.2471,2.2471,2.2471,1.0001,0.4451,0,0,1,2.2471
1750032000000,2025-06-16 00:00:00,XRP/USDC,2.1999,2.3313,2.1999,2.2473,249.1568,111.7329,137.2437,62.2888,12,2.2305
1749945600000,2025-06-15 00:00:00,XRP/USDC,2.2369,2.2369,2.0604,2.0895,527.0837,251.404,28.4081,13.2334,12,2.0967
1749859200000,2025-06-14 00:00:00,XRP/USDC,2.103,2.2112,2.103,2.2112,684.6955,325.552,684.6955,325.552,4,2.1031
1749772800000,2025-06-13 00:00:00,XRP/USDC,2.1127,2.15,2.1005,2.103,515.1932,240.6212,113.8068,53.0688,9,2.1412
1749686400000,2025-06-12 00:00:00,XRP/USDC,2.2627,2.2639,2.2289,2.2366,124.7814,55.6346,2.5074,1.1076,8,2.2429
1749600000000,2025-06-11 00:00:00,XRP/USDC,2.2973,2.34,2.2493,2.34,2170.5226,963.4365,2130.5224,945.6624,10,2.253
1749513600000,2025-06-10 00:00:00,XRP/USDC,2.2751,2.2753,2.275,2.2753,66.8489,29.3811,0,0,6,2.2752
1749427200000,2025-06-09 00:00:00,XRP/USDC,2.2496,2.3629,2.1605,2.3629,1027.082,462.1475,437.4637,193.7754,29,2.2232
1749340800000,2025-06-08 00:00:00,XRP/USDC,2.1123,2.2805,2.1123,2.2601,285.3748,131.5779,127.1368,57.9044,11,2.1702
1749254400000,2025-06-07 00:00:00,XRP/USDC,2.1926,2.1926,2.1926,2.1926,12.983,5.9213,12.983,5.9213,1,2.1926
1749168000000,2025-06-06 00:00:00,XRP/USDC,2.087,2.087,2.087,2.087,0,0,0,0,0,2.1135
1749081600000,2025-06-05 00:00:00,XRP/USDC,2.1633,2.1633,2.052,2.087,33.4187,15.8209,0,0,8,2.1135
1748995200000,2025-06-04 00:00:00,XRP/USDC,2.2417,2.2804,2.1981,2.2055,506.3997,226.5161,372.94,166.2739,9,2.2357
1748908800000,2025-06-03 00:00:00,XRP/USDC,2.2159,2.2782,2.1375,2.2365,314.1346,140.0834,52.9673,23.8277,13,2.2428
1748822400000,2025-06-02 00:00:00,XRP/USDC,2.2156,2.2156,2.1069,2.1069,192.2603,87.4919,161.3324,72.8294,25,2.1981
1748736000000,2025-06-01 00:00:00,XRP/USDC,2.1067,2.1067,2.1067,2.1067,0.3202,0.152,0,0,1,2.1067
1748649600000,2025-05-31 00:00:00,XRP/USDC,2.1057,2.2,2.1,2.2,1227.3515,581.9677,121.5737,56.5938,9,2.1092
1748563200000,2025-05-30 00:00:00,XRP/USDC,2.2323,2.2323,2.1377,2.1377,410.3235,188.6664,221.6624,101.0514,22,2.1751
1748476800000,2025-05-29 00:00:00,XRP/USDC,2.2877,2.2987,2.2425,2.2425,10746.2578,4751.3983,6842.5339,3025.382,40,2.2617
1748390400000,2025-05-28 00:00:00,XRP/USDC,2.2999,2.3,2.2398,2.278,470.4958,206.3033,321.6036,140.8937,31,2.2807
1748304000000,2025-05-27 00:00:00,XRP/USDC,2.2892,2.3397,2.1757,2.2749,266.4202,116.4264,173.6264,75.4685,32,2.2886
1748217600000,2025-05-26 00:00:00,XRP/USDC,2.3436,2.3549,2.3055,2.3055,67.2093,29.1126,3.0005,1.2762,8,2.3086
1748131200000,2025-05-25 00:00:00,XRP/USDC,2.3267,2.3339,2.2752,2.3339,815.8455,353.3503,350.7885,151.8216,41,2.3089
1748044800000,2025-05-24 00:00:00,XRP/USDC,2.3172,2.3514,2.2943,2.3281,159.6559,68.848,133.6519,57.5833,15,2.319
1747958400000,2025-05-23 00:00:00,XRP/USDC,2.4571,2.4713,2.1335,2.2952,794.8159,341.3315,311.887,129.9835,43,2.3329
1747872000000,2025-05-22 00:00:00,XRP/USDC,2.3633,2.4582,2.1669,2.4107,1140.7692,482.2479,507.7552,210.1072,31,2.3685
1747785600000,2025-05-21 00:00:00,XRP/USDC,2.3672,2.4138,2.3384,2.3987,2373.077,1008.8367,2040.383,867.4179,55,2.3525
1747699200000,2025-05-20 00:00:00,XRP/USDC,2.3971,2.3972,2.2225,2.2225,5250.3102,2238.7177,5179.0464,2207.8655,48,2.3452
1747612800000,2025-05-19 00:00:00,XRP/USDC,2.3337,2.4609,2.2982,2.3708,116.7477,49.5254,49.2408,20.4797,13,2.3583
1747526400000,2025-05-18 00:00:00,XRP/USDC,2.361,2.4264,2.3111,2.3304,146.6872,62.0463,117.8346,49.6136,12,2.3645
1747440000000,2025-05-17 00:00:00,XRP/USDC,2.3505,2.3727,2.306,2.3109,869.1488,371.3095,362.3495,153.0528,25,2.341
1747353600000,2025-05-16 00:00:00,XRP/USDC,2.3213,2.3213,2.3213,2.3213,0,0,0,0,0,2.4489
1747267200000,2025-05-15 00:00:00,XRP/USDC,2.5237,2.5407,2.3213,2.3213,850.6835,347.4812,177.1309,72.2116,24,2.4489
1747180800000,2025-05-14 00:00:00,XRP/USDC,2.6093,2.6094,2.4639,2.4995,40.0646,15.8377,16.2285,6.2195,4,2.5313
1747094400000,2025-05-13 00:00:00,XRP/USDC,2.4798,2.5674,2.3916,2.5243,743.3558,303.2508,526.984,214.5661,15,2.4521
1747008000000,2025-05-12 00:00:00,XRP/USDC,2.3358,2.649,2.3008,2.4268,607.4273,243.9048,411.3358,164.2242,42,2.4935
1746921600000,2025-05-11 00:00:00,XRP/USDC,2.4221,2.6537,2.1941,2.4506,4717.0308,2013.8981,2635.3247,1103.1549,52,2.3438
1746835200000,2025-05-10 00:00:00,XRP/USDC,2.3631,2.4284,2.2975,2.4154,5045.2842,2092.3418,4774.1066,1978.0284,30,2.4113
1746748800000,2025-05-09 00:00:00,XRP/USDC,2.3044,2.4163,2.2516,2.285,3273.6908,1426.0158,3036.302,1323.4921,39,2.2957
1746662400000,2025-05-08 00:00:00,XRP/USDC,2.1395,2.4005,2.117,2.2164,613.136,278.6727,412.9706,188.1167,52,2.2018
1746576000000,2025-05-07 00:00:00,XRP/USDC,2.1491,2.1491,2.1136,2.1343,193.5272,90.543,64.1182,30.0057,24,2.1374
1746489600000,2025-05-06 00:00:00,XRP/USDC,2.1153,2.2593,2.1034,2.2593,133.4649,62.5319,128.4641,60.1622,25,2.1344
1746403200000,2025-05-05 00:00:00,XRP/USDC,2.1623,2.1874,2.1193,2.1208,653.3126,302.8497,373.3124,172.2252,27,2.1572
1746316800000,2025-05-04 00:00:00,XRP/USDC,2.1893,2.3221,2.1655,2.1655,801.3187,367.7356,281.8589,128.3538,32,2.1793
1746230400000,2025-05-03 00:00:00,XRP/USDC,2.2154,2.2154,2.189,2.189,220.4336,100.4508,218.4404,99.541,16,2.1944
1746144000000,2025-05-02 00:00:00,XRP/USDC,2.2522,2.2522,2.1908,2.1908,102.5267,46.2651,22.5191,10.0166,9,2.2161
1746057600000,2025-05-01 00:00:00,XRP/USDC,2.2146,2.2415,2.2146,2.227,46.0011,20.6544,6.0011,2.6938,9,2.2271
1745971200000,2025-04-30 00:00:00,XRP/USDC,2.2,2.2533,2.1402,2.2061,554.585,252.4954,387.8819,175.5867,30,2.1967
1745884800000,2025-04-29 00:00:00,XRP/USDC,2.3171,2.3171,2.1805,2.195,94.6978,42.369,33.479,14.4487,6,2.2366
1745798400000,2025-04-28 00:00:00,XRP/USDC,2.2781,2.2781,2.2781,2.2781,1.0003,0.4391,0,0,1,2.2781
1745712000000,2025-04-27 00:00:00,XRP/USDC,2.1699,2.2877,2.1698,2.2512,350.0351,159.198,192.0359,88.347,21,2.1993
1745625600000,2025-04-26 00:00:00,XRP/USDC,2.1949,2.195,2.1874,2.1929,72.6462,33.1009,2.0003,0.9122,7,2.1946
1745539200000,2025-04-25 00:00:00,XRP/USDC,2.1901,2.3229,2.1901,2.2,261.4733,118.1932,33.8245,14.5785,5,2.213
1745452800000,2025-04-24 00:00:00,XRP/USDC,2.1778,2.211,2.1353,2.194,1215.3205,553.7477,365.2637,166.2626,18,2.1947
1745366400000,2025-04-23 00:00:00,XRP/USDC,2.1543,2.2568,2.1543,2.2183,365.5359,166.3098,1.0002,0.4432,8,2.1983
1745280000000,2025-04-22 00:00:00,XRP/USDC,2.0664,2.208,1.9105,2.208,279.1809,133.6568,251.9868,119.5361,27,2.0906
1745193600000,2025-04-21 00:00:00,XRP/USDC,2.1094,2.1353,2.0665,2.0668,241.7527,116.329,45.4172,21.514,13,2.0783
1745107200000,2025-04-20 00:00:00,XRP/USDC,2.0335,2.0335,2.0335,2.0335,4067,2000,4028.0001,1980.8213,13,2.0335
1745020800000,2025-04-19 00:00:00,XRP/USDC,2.1094,2.1094,2.035,2.1094,150.0319,71.921,95.1049,45.2267,19,2.0865
1744934400000,2025-04-18 00:00:00,XRP/USDC,2.0335,2.1071,2.0335,2.0335,2352.6512,1119.914,210.5018,100.5828,10,2.1009
1744848000000,2025-04-17 00:00:00,XRP/USDC,2.05,2.101,2.0499,2.06,232.5942,111.774,123.4184,58.7455,10,2.0811
1744761600000,2025-04-16 00:00:00,XRP/USDC,2.061,2.124,1.9307,2.124,153.3001,75.8407,1.0001,0.4709,12,2.022
1744675200000,2025-04-15 00:00:00,XRP/USDC,2.1169,2.159,1.936,2.159,221.3079,104.8522,78.6571,36.4322,14,2.1127
1744588800000,2025-04-14 00:00:00,XRP/USDC,2.1328,2.1547,2.1223,2.1547,2018.3974,937.8638,240.9677,112.41,22,2.1521
1744502400000,2025-04-13 00:00:00,XRP/USDC,2.1653,2.1654,2.1209,2.1209,158.2579,73.2279,34.6182,15.9877,9,2.1611
1744416000000,2025-04-12 00:00:00,XRP/USDC,2.0624,2.2619,1.8304,2.1345,3739.6241,1826.5126,1364.6134,653.3995,300,2.049
1744329600000,2025-04-11 00:00:00,XRP/USDC,1.8757,2.0357,1.875,2.0357,1118.6586,570.8964,472.8371,234.4949,67,1.961
1744243200000,2025-04-10 00:00:00,XRP/USDC,2.0197,2.0403,1.9764,1.9824,261.2214,129.2287,180.0582,88.8108,10,2.0217
1744156800000,2025-04-09 00:00:00,XRP/USDC,1.781,1.8511,1.781,1.8511,123.5543,68.6974,123.5543,68.6974,5,1.7988
1744070400000,2025-04-08 00:00:00,XRP/USDC,1.8873,1.8873,1.7429,1.7429,36.1672,20.1389,7.3549,3.8971,3,1.7974
1743984000000,2025-04-07 00:00:00,XRP/USDC,1.8,1.8874,1.7,1.8873,1564.839,871.9019,575.3597,304.8972,19,1.7978
1743897600000,2025-04-06 00:00:00,XRP/USDC,1.9553,2.7172,1.8203,1.8203,1720.9022,852.9814,299.9999,110.41,16,2.054
1743811200000,2025-04-05 00:00:00,XRP/USDC,2.0535,2.0535,2.0535,2.0535,100.8428,49.1078,100.8428,49.1078,2,2.0535
1743724800000,2025-04-04 00:00:00,XRP/USDC,1.9508,1.9508,1.9508,1.9508,0,0,0,0,0,1.9971
1743638400000,2025-04-03 00:00:00,XRP/USDC,1.9203,2.1453,1.9203,1.9508,1391.2112,696.6746,1372.5145,687.0123,74,1.9971
1743552000000,2025-04-02 00:00:00,XRP/USDC,2.1999,2.2,2,2,2726.843,1260.3652,2209.9904,1004.5413,21,2.1659
1743465600000,2025-04-01 00:00:00,XRP/USDC,2.1994,2.1997,2.0571,2.0571,508.203,231.3495,498.8504,226.803,4,2.1968
1743379200000,2025-03-31 00:00:00,XRP/USDC,2.0385,2.0385,2.0385,2.0385,2038.5,1000,2038.5,1000,3,2.0385
1743292800000,2025-03-30 00:00:00,XRP/USDC,2.0528,2.0528,2.0528,2.0528,0,0,0,0,0,2.0528
1743206400000,2025-03-29 00:00:00,XRP/USDC,2.0528,2.0528,2.0528,2.0528,9.5442,4.6494,0,0,1,2.0528
1743120000000,2025-03-28 00:00:00,XRP/USDC,2.3093,2.3093,2.151,2.151,154.8579,68.337,0,0,6,2.2666
1743033600000,2025-03-27 00:00:00,XRP/USDC,2.3582,2.4576,2.3093,2.3093,115.3951,49.2665,31.753,13.068,8,2.3436
1742947200000,2025-03-26 00:00:00,XRP/USDC,2.3095,2.3095,2.3095,2.3095,1039.275,450,1039.275,450,10,2.3095
1742860800000,2025-03-25 00:00:00,XRP/USDC,2.8837,2.8837,2.3095,2.3095,675.3678,245.3701,626.2137,224.3412,9,2.7584
1742774400000,2025-03-24 00:00:00,XRP/USDC,2.3547,2.3547,2.3547,2.3547,0,0,0,0,0,2.3475
1742688000000,2025-03-23 00:00:00,XRP/USDC,2.3547,2.3547,2.3547,2.3547,0,0,0,0,0,2.3475
1742601600000,2025-03-22 00:00:00,XRP/USDC,2.3547,2.3547,2.3547,2.3547,0,0,0,0,0,2.3475
1742515200000,2025-03-21 00:00:00,XRP/USDC,2.301,2.3548,2.301,2.3547,71.8032,30.5878,0,0,3,2.3475
1742428800000,2025-03-20 00:00:00,XRP/USDC,2.4024,2.4024,2.4024,2.4024,14.6025,6.0783,14.6025,6.0783,2,2.4024
1742342400000,2025-03-19 00:00:00,XRP/USDC,2.4885,2.4886,2.4885,2.4886,497.718,200,497.718,200,2,2.4885
1742256000000,2025-03-18 00:00:00,XRP/USDC,2.3046,2.3046,2.2077,2.2077,19.3644,8.585,0,0,2,2.2566
1742169600000,2025-03-17 00:00:00,XRP/USDC,2.3549,2.3556,2.3549,2.3556,514.5603,218.4615,0,0,6,2.3553
1742083200000,2025-03-16 00:00:00,XRP/USDC,2.1894,2.3385,2.1894,2.2534,3184.4927,1415.6627,2177.4968,960.1433,17,2.2507
1741996800000,2025-03-15 00:00:00,XRP/USDC,2.5268,2.928,2.318,2.3797,46.1131,18.9749,11.1287,4.2279,6,2.4381
1741910400000,2025-03-14 00:00:00,XRP/USDC,2.3258,2.3258,2.3257,2.3257,535.2554,230.1474,0,0,4,2.3257
1741824000000,2025-03-13 00:00:00,XRP/USDC,2.1929,2.1929,2.1929,2.1929,0,0,0,0,0,2.1762
1741737600000,2025-03-12 00:00:00,XRP/USDC,2.223,2.2312,2.1246,2.1929,19754.2664,9077.0792,19118.0217,8782.0085,65,2.1762
1741651200000,2025-03-11 00:00:00,XRP/USDC,2.0008,2.0008,1.92,1.92,259.7857,135.0994,9.7795,4.8878,4,1.923
1741564800000,2025-03-10 00:00:00,XRP/USDC,1.9255,2.1798,1.9255,1.9505,49.7806,24.7397,21.9468,10.3497,5,2.0173
1741478400000,2025-03-09 00:00:00,XRP/USDC,2.121,2.1211,2.0351,2.0351,210.4296,99.4026,0,0,10,2.1171
1741392000000,2025-03-08 00:00:00,XRP/USDC,2.1702,2.1702,2.1702,2.1702,0,0,0,0,0,2.9255
1741305600000,2025-03-07 00:00:00,XRP/USDC,2.1702,2.1702,2.1702,2.1702,0,0,0,0,0,2.9255
1741219200000,2025-03-06 00:00:00,XRP/USDC,2.1702,2.1702,2.1702,2.1702,0,0,0,0,0,2.9255
1741132800000,2025-03-05 00:00:00,XRP/USDC,2.1702,2.1702,2.1702,2.1702,0,0,0,0,0,2.9255
1741046400000,2025-03-04 00:00:00,XRP/USDC,2.1702,2.1702,2.1702,2.1702,0,0,0,0,0,2.9255
1740960000000,2025-03-03 00:00:00,XRP/USDC,2.1846,3.0629,2.1021,2.1702,821.0498,283.6395,707.5518,234.9837,19,2.9255
1740873600000,2025-03-02 00:00:00,XRP/USDC,2.7853,3.3,2.166,2.6541,7763.2631,2399.6581,7747.443,2393.0372,21,3.2437
1740787200000,2025-03-01 00:00:00,XRP/USDC,2.7978,2.7979,1.8719,1.8719,326.2772,117.7997,319.5863,114.2253,3,2.7788
1740700800000,2025-02-28 00:00:00,XRP/USDC,2.0168,2.0168,1.7811,1.9833,1535.3306,786.2704,277.4951,154.9364,95,1.9582
1740614400000,2025-02-27 00:00:00,XRP/USDC,2.0175,2.0175,2.0175,2.0175,0,0,0,0,0,2.0982
1740528000000,2025-02-26 00:00:00,XRP/USDC,2.0175,2.0175,2.0175,2.0175,0,0,0,0,0,2.0982
1740441600000,2025-02-25 00:00:00,XRP/USDC,2.156,2.2,2.0162,2.0175,54.2025,25.8743,0,0,5,2.0982
1740355200000,2025-02-24 00:00:00,XRP/USDC,2.4616,2.4616,2.3178,2.3178,2160.9887,906.388,9.5403,4.1117,18,2.3861
1740268800000,2025-02-23 00:00:00,XRP/USDC,2.554,2.8699,2.4615,2.4615,638.3531,223.8463,638.3531,223.8463,4,2.8538
1740182400000,2025-02-22 00:00:00,XRP/USDC,2.554,2.554,2.554,2.554,0,0,0,0,0,2.554
1740096000000,2025-02-21 00:00:00,XRP/USDC,2.554,2.554,2.554,2.554,1.277,0.5,0,0,1,2.554
1740009600000,2025-02-20 00:00:00,XRP/USDC,2.8703,2.8703,2.5541,2.5541,12.7437,4.8237,0,0,3,2.6494
1739923200000,2025-02-19 00:00:00,XRP/USDC,2.554,2.554,2.554,2.554,0,0,0,0,0,2.5758
1739836800000,2025-02-18 00:00:00,XRP/USDC,2.5807,2.5807,2.554,2.554,681.0269,264.3954,0,0,5,2.5758
1739750400000,2025-02-17 00:00:00,XRP/USDC,2.8823,2.8823,2.8823,2.8823,0,0,0,0,0,2.8821
1739664000000,2025-02-16 00:00:00,XRP/USDC,2.6801,2.8823,2.6801,2.8823,568.4879,197.2421,568.1831,197.1284,2,2.8821
1739577600000,2025-02-15 00:00:00,XRP/USDC,2.8825,2.8825,2.8825,2.8825,111.0137,38.513,111.0137,38.513,1,2.8825
1739491200000,2025-02-14 00:00:00,XRP/USDC,2.4494,2.8826,2.4494,2.6421,27.8098,10.133,19.1765,6.8573,11,2.7498
1739404800000,2025-02-13 00:00:00,XRP/USDC,2.5296,2.5306,2.5296,2.5306,698.8004,276.2186,698.8004,276.2186,12,2.5298
1739318400000,2025-02-12 00:00:00,XRP/USDC,2.3179,2.3179,2.3179,2.3179,0,0,0,0,0,2.4419
1739232000000,2025-02-11 00:00:00,XRP/USDC,2.3179,2.3179,2.3179,2.3179,0,0,0,0,0,2.4419
1739145600000,2025-02-10 00:00:00,XRP/USDC,2.3179,2.3179,2.3179,2.3179,0,0,0,0,0,2.4419
